point_id,x,y,z
405,-0.000523055,-0.0153389,0.000300494
406,-0.000517055,-0.0153389,0.000300494
407,-0.000523055,-0.0153329,0.000300494
408,-0.000517055,-0.0153329,0.000300494
409,-0.000523055,-0.0153389,0.000300494
410,-0.000517055,-0.0153389,0.000300494
411,-0.000523055,-0.0153329,0.000300494
412,-0.000517055,-0.0153329,0.000300494
413,-0.000523055,-0.0153389,0.000306494
414,-0.000517055,-0.0153389,0.000306494
415,-0.000523055,-0.0153329,0.000306494
416,-0.000517055,-0.0153329,0.000306494
417,-0.000523055,-0.0153389,0.000306494
418,-0.000517055,-0.0153389,0.000306494
419,-0.000523055,-0.0153329,0.000306494
420,-0.000517055,-0.0153329,0.000306494
421,-0.000523055,-0.0153389,0.000312494
422,-0.000517055,-0.0153389,0.000312494
423,-0.000523055,-0.0153329,0.000312494
424,-0.000517055,-0.0153329,0.000312494
425,-0.000523055,-0.0153389,0.000312494
426,-0.000517055,-0.0153389,0.000312494
427,-0.000523055,-0.0153329,0.000312494
428,-0.000517055,-0.0153329,0.000312494
429,-0.000523055,-0.0153389,0.000318494
430,-0.000517055,-0.0153389,0.000318494
431,-0.000523055,-0.0153329,0.000318494
432,-0.000517055,-0.0153329,0.000318494
433,-0.000523055,-0.0153389,0.000318494
434,-0.000517055,-0.0153389,0.000318494
435,-0.000523055,-0.0153329,0.000318494
436,-0.000517055,-0.0153329,0.000318494
437,-0.000523055,-0.0153389,0.000324494
438,-0.000517055,-0.0153389,0.000324494
439,-0.000523055,-0.0153329,0.000324494
440,-0.000517055,-0.0153329,0.000324494
441,-0.000523055,-0.0153389,0.000324494
442,-0.000517055,-0.0153389,0.000324494
443,-0.000523055,-0.0153329,0.000324494
444,-0.000517055,-0.0153329,0.000324494
445,-0.000523055,-0.0153389,0.00032755
446,-0.000517055,-0.0153389,0.00032755
447,-0.000523055,-0.0153329,0.00032755
448,-0.000517055,-0.0153329,0.00032755
449,-0.000523055,-0.0153329,0.000294494
450,-0.000517055,-0.0153329,0.000294494
451,-0.000523055,-0.0153269,0.000294494
452,-0.000517055,-0.0153269,0.000294494
453,-0.000523055,-0.0153329,0.000300494
454,-0.000517055,-0.0153329,0.000300494
455,-0.000523055,-0.0153269,0.000300494
456,-0.000517055,-0.0153269,0.000300494
457,-0.000523055,-0.0153329,0.000300494
458,-0.000517055,-0.0153329,0.000300494
459,-0.000523055,-0.0153269,0.000300494
460,-0.000517055,-0.0153269,0.000300494
461,-0.000523055,-0.0153329,0.000306494
462,-0.000517055,-0.0153329,0.000306494
463,-0.000523055,-0.0153269,0.000306494
464,-0.000517055,-0.0153269,0.000306494
465,-0.000523055,-0.0153329,0.000306494
466,-0.000517055,-0.0153329,0.000306494
467,-0.000523055,-0.0153269,0.000306494
468,-0.000517055,-0.0153269,0.000306494
469,-0.000523055,-0.0153329,0.000312494
470,-0.000517055,-0.0153329,0.000312494
471,-0.000523055,-0.0153269,0.000312494
472,-0.000517055,-0.0153269,0.000312494
473,-0.000523055,-0.0153329,0.000318494
474,-0.000517055,-0.0153329,0.000318494
475,-0.000523055,-0.0153269,0.000318494
476,-0.000517055,-0.0153269,0.000318494
477,-0.000523055,-0.0153329,0.000324494
478,-0.000517055,-0.0153329,0.000324494
479,-0.000523055,-0.0153269,0.000324494
480,-0.000517055,-0.0153269,0.000324494
481,-0.000523055,-0.0153329,0.000324494
482,-0.000517055,-0.0153329,0.000324494
483,-0.000523055,-0.0153269,0.000324494
484,-0.000517055,-0.0153269,0.000324494
485,-0.000523055,-0.0153329,0.00032755
486,-0.000517055,-0.0153329,0.00032755
487,-0.000523055,-0.0153269,0.00032755
488,-0.000517055,-0.0153269,0.00032755
489,-0.000523055,-0.0153269,0.000294494
490,-0.000517055,-0.0153269,0.000294494
491,-0.000523055,-0.0153209,0.000294494
